"","GO.ID","Term","Annotated","Significant","Expected","Fisher","fdr"
"1","GO:0005976","polysaccharide metabolic process",54,2,0.02,"0.00023",0.20384
"2","GO:0044264","cellular polysaccharide metabolic proces...",46,2,0.01,"0.00054",0.20384
"3","GO:0044262","cellular carbohydrate metabolic process",93,2,0.03,"0.00056",0.20384
"4","GO:0005975","carbohydrate metabolic process",374,2,0.11,"0.00791",1
"5","GO:0044260","cellular macromolecule metabolic process",1905,2,0.58,"0.22846",1
"6","GO:0044237","cellular metabolic process",3667,2,1.11,"0.35618",1
"7","GO:0008152","metabolic process",4811,2,1.45,"0.52812",1
"8","GO:0043170","macromolecule metabolic process",3193,2,0.96,"0.57902",1
"9","GO:0009987","cellular process",5044,2,1.52,"0.58052",1
"10","GO:0044238","primary metabolic process",3984,2,1.2,"0.68572",1
"11","GO:0044042","glucan metabolic process",45,2,0.01,"0.69182",1
"12","GO:0071704","organic substance metabolic process",4196,2,1.27,"0.76065",1
"13","GO:0006073","cellular glucan metabolic process",45,2,0.01,"0.95652",1
"14","GO:0008150","biological_process",6620,2,2,"1.00000",1
"15","GO:0000003","reproduction",38,0,0.01,"1.00000",1
"16","GO:0000041","transition metal ion transport",14,0,0,"1.00000",1
"17","GO:0000045","autophagosome assembly",11,0,0,"1.00000",1
"18","GO:0000070","mitotic sister chromatid segregation",15,0,0,"1.00000",1
"19","GO:0000075","cell cycle checkpoint signaling",12,0,0,"1.00000",1
"20","GO:0000077","DNA damage checkpoint signaling",5,0,0,"1.00000",1
"21","GO:0000079","regulation of cyclin-dependent protein s...",8,0,0,"1.00000",1
"22","GO:0000096","sulfur amino acid metabolic process",11,0,0,"1.00000",1
"23","GO:0000097","sulfur amino acid biosynthetic process",9,0,0,"1.00000",1
"24","GO:0000103","sulfate assimilation",4,0,0,"1.00000",1
"25","GO:0000105","histidine biosynthetic process",8,0,0,"1.00000",1
"26","GO:0000154","rRNA modification",3,0,0,"1.00000",1
"27","GO:0000160","phosphorelay signal transduction system",36,0,0.01,"1.00000",1
"28","GO:0000226","microtubule cytoskeleton organization",34,0,0.01,"1.00000",1
"29","GO:0000245","spliceosomal complex assembly",3,0,0,"1.00000",1
"30","GO:0000271","polysaccharide biosynthetic process",23,0,0.01,"1.00000",1
"31","GO:0000272","polysaccharide catabolic process",8,0,0,"1.00000",1
"32","GO:0000278","mitotic cell cycle",24,0,0.01,"1.00000",1
"33","GO:0000280","nuclear division",18,0,0.01,"1.00000",1
"34","GO:0000375","RNA splicing, via transesterification re...",32,0,0.01,"1.00000",1
"35","GO:0000377","RNA splicing, via transesterification re...",32,0,0.01,"1.00000",1
"36","GO:0000387","spliceosomal snRNP assembly",7,0,0,"1.00000",1
"37","GO:0000394","RNA splicing, via endonucleolytic cleava...",4,0,0,"1.00000",1
"38","GO:0000398","mRNA splicing, via spliceosome",32,0,0.01,"1.00000",1
"39","GO:0000413","protein peptidyl-prolyl isomerization",30,0,0.01,"1.00000",1
"40","GO:0000723","telomere maintenance",6,0,0,"1.00000",1
"41","GO:0000724","double-strand break repair via homologou...",5,0,0,"1.00000",1
"42","GO:0000725","recombinational repair",5,0,0,"1.00000",1
"43","GO:0000737","DNA catabolic process, endonucleolytic",3,0,0,"1.00000",1
"44","GO:0000819","sister chromatid segregation",15,0,0,"1.00000",1
"45","GO:0000910","cytokinesis",11,0,0,"1.00000",1
"46","GO:0000956","nuclear-transcribed mRNA catabolic proce...",3,0,0,"1.00000",1
"47","GO:0001101","response to acid chemical",7,0,0,"1.00000",1
"48","GO:0001510","RNA methylation",10,0,0,"1.00000",1
"49","GO:0001522","pseudouridine synthesis",21,0,0.01,"1.00000",1
"50","GO:0001678","cellular glucose homeostasis",5,0,0,"1.00000",1
"51","GO:0001932","regulation of protein phosphorylation",14,0,0,"1.00000",1
"52","GO:0001934","positive regulation of protein phosphory...",6,0,0,"1.00000",1
"53","GO:0002084","protein depalmitoylation",4,0,0,"1.00000",1
"54","GO:0003333","amino acid transmembrane transport",26,0,0.01,"1.00000",1
"55","GO:0005984","disaccharide metabolic process",33,0,0.01,"1.00000",1
"56","GO:0005985","sucrose metabolic process",14,0,0,"1.00000",1
"57","GO:0005986","sucrose biosynthetic process",4,0,0,"1.00000",1
"58","GO:0005991","trehalose metabolic process",19,0,0.01,"1.00000",1
"59","GO:0005992","trehalose biosynthetic process",18,0,0.01,"1.00000",1
"60","GO:0005996","monosaccharide metabolic process",18,0,0.01,"1.00000",1
"61","GO:0006006","glucose metabolic process",12,0,0,"1.00000",1
"62","GO:0006013","mannose metabolic process",3,0,0,"1.00000",1
"63","GO:0006020","inositol metabolic process",6,0,0,"1.00000",1
"64","GO:0006021","inositol biosynthetic process",3,0,0,"1.00000",1
"65","GO:0006022","aminoglycan metabolic process",14,0,0,"1.00000",1
"66","GO:0006023","aminoglycan biosynthetic process",3,0,0,"1.00000",1
"67","GO:0006024","glycosaminoglycan biosynthetic process",3,0,0,"1.00000",1
"68","GO:0006026","aminoglycan catabolic process",11,0,0,"1.00000",1
"69","GO:0006029","proteoglycan metabolic process",3,0,0,"1.00000",1
"70","GO:0006030","chitin metabolic process",11,0,0,"1.00000",1
"71","GO:0006032","chitin catabolic process",11,0,0,"1.00000",1
"72","GO:0006040","amino sugar metabolic process",11,0,0,"1.00000",1
"73","GO:0006066","alcohol metabolic process",22,0,0.01,"1.00000",1
"74","GO:0006072","glycerol-3-phosphate metabolic process",4,0,0,"1.00000",1
"75","GO:0006074","(1->3)-beta-D-glucan metabolic process",11,0,0,"1.00000",1
"76","GO:0006075","(1->3)-beta-D-glucan biosynthetic proces...",11,0,0,"1.00000",1
"77","GO:0006081","cellular aldehyde metabolic process",11,0,0,"1.00000",1
"78","GO:0006082","organic acid metabolic process",306,0,0.09,"1.00000",1
"79","GO:0006089","lactate metabolic process",3,0,0,"1.00000",1
"80","GO:0006090","pyruvate metabolic process",43,0,0.01,"1.00000",1
"81","GO:0006091","generation of precursor metabolites and ...",109,0,0.03,"1.00000",1
"82","GO:0006094","gluconeogenesis",4,0,0,"1.00000",1
"83","GO:0006096","glycolytic process",40,0,0.01,"1.00000",1
"84","GO:0006098","pentose-phosphate shunt",7,0,0,"1.00000",1
"85","GO:0006099","tricarboxylic acid cycle",7,0,0,"1.00000",1
"86","GO:0006102","isocitrate metabolic process",3,0,0,"1.00000",1
"87","GO:0006108","malate metabolic process",4,0,0,"1.00000",1
"88","GO:0006119","oxidative phosphorylation",9,0,0,"1.00000",1
"89","GO:0006122","mitochondrial electron transport, ubiqui...",5,0,0,"1.00000",1
"90","GO:0006139","nucleobase-containing compound metabolic...",1429,0,0.43,"1.00000",1
"91","GO:0006163","purine nucleotide metabolic process",92,0,0.03,"1.00000",1
"92","GO:0006164","purine nucleotide biosynthetic process",44,0,0.01,"1.00000",1
"93","GO:0006165","nucleoside diphosphate phosphorylation",46,0,0.01,"1.00000",1
"94","GO:0006183","GTP biosynthetic process",6,0,0,"1.00000",1
"95","GO:0006188","IMP biosynthetic process",7,0,0,"1.00000",1
"96","GO:0006189","'de novo' IMP biosynthetic process",4,0,0,"1.00000",1
"97","GO:0006220","pyrimidine nucleotide metabolic process",16,0,0,"1.00000",1
"98","GO:0006221","pyrimidine nucleotide biosynthetic proce...",15,0,0,"1.00000",1
"99","GO:0006228","UTP biosynthetic process",6,0,0,"1.00000",1
"100","GO:0006231","dTMP biosynthetic process",3,0,0,"1.00000",1
"101","GO:0006241","CTP biosynthetic process",6,0,0,"1.00000",1
"102","GO:0006259","DNA metabolic process",198,0,0.06,"1.00000",1
"103","GO:0006260","DNA replication",52,0,0.02,"1.00000",1
"104","GO:0006261","DNA-templated DNA replication",8,0,0,"1.00000",1
"105","GO:0006265","DNA topological change",12,0,0,"1.00000",1
"106","GO:0006270","DNA replication initiation",4,0,0,"1.00000",1
"107","GO:0006275","regulation of DNA replication",3,0,0,"1.00000",1
"108","GO:0006281","DNA repair",124,0,0.04,"1.00000",1
"109","GO:0006282","regulation of DNA repair",3,0,0,"1.00000",1
"110","GO:0006284","base-excision repair",17,0,0.01,"1.00000",1
"111","GO:0006289","nucleotide-excision repair",14,0,0,"1.00000",1
"112","GO:0006298","mismatch repair",12,0,0,"1.00000",1
"113","GO:0006302","double-strand break repair",10,0,0,"1.00000",1
"114","GO:0006308","DNA catabolic process",8,0,0,"1.00000",1
"115","GO:0006310","DNA recombination",39,0,0.01,"1.00000",1
"116","GO:0006325","chromatin organization",29,0,0.01,"1.00000",1
"117","GO:0006334","nucleosome assembly",19,0,0.01,"1.00000",1
"118","GO:0006338","chromatin remodeling",29,0,0.01,"1.00000",1
"119","GO:0006351","transcription, DNA-templated",816,0,0.25,"1.00000",1
"120","GO:0006352","DNA-templated transcription, initiation",33,0,0.01,"1.00000",1
"121","GO:0006353","DNA-templated transcription, termination",4,0,0,"1.00000",1
"122","GO:0006354","DNA-templated transcription, elongation",6,0,0,"1.00000",1
"123","GO:0006355","regulation of transcription, DNA-templat...",712,0,0.22,"1.00000",1
"124","GO:0006357","regulation of transcription by RNA polym...",20,0,0.01,"1.00000",1
"125","GO:0006359","regulation of transcription by RNA polym...",3,0,0,"1.00000",1
"126","GO:0006364","rRNA processing",24,0,0.01,"1.00000",1
"127","GO:0006366","transcription by RNA polymerase II",34,0,0.01,"1.00000",1
"128","GO:0006367","transcription initiation from RNA polyme...",9,0,0,"1.00000",1
"129","GO:0006368","transcription elongation from RNA polyme...",5,0,0,"1.00000",1
"130","GO:0006376","mRNA splice site selection",3,0,0,"1.00000",1
"131","GO:0006378","mRNA polyadenylation",3,0,0,"1.00000",1
"132","GO:0006383","transcription by RNA polymerase III",8,0,0,"1.00000",1
"133","GO:0006384","transcription initiation from RNA polyme...",3,0,0,"1.00000",1
"134","GO:0006388","tRNA splicing, via endonucleolytic cleav...",4,0,0,"1.00000",1
"135","GO:0006396","RNA processing",174,0,0.05,"1.00000",1
"136","GO:0006397","mRNA processing",61,0,0.02,"1.00000",1
"137","GO:0006399","tRNA metabolic process",88,0,0.03,"1.00000",1
"138","GO:0006400","tRNA modification",9,0,0,"1.00000",1
"139","GO:0006401","RNA catabolic process",8,0,0,"1.00000",1
"140","GO:0006402","mRNA catabolic process",8,0,0,"1.00000",1
"141","GO:0006412","translation",403,0,0.12,"1.00000",1
"142","GO:0006413","translational initiation",25,0,0.01,"1.00000",1
"143","GO:0006414","translational elongation",15,0,0,"1.00000",1
"144","GO:0006415","translational termination",13,0,0,"1.00000",1
"145","GO:0006417","regulation of translation",5,0,0,"1.00000",1
"146","GO:0006418","tRNA aminoacylation for protein translat...",46,0,0.01,"1.00000",1
"147","GO:0006419","alanyl-tRNA aminoacylation",3,0,0,"1.00000",1
"148","GO:0006433","prolyl-tRNA aminoacylation",3,0,0,"1.00000",1
"149","GO:0006448","regulation of translational elongation",5,0,0,"1.00000",1
"150","GO:0006449","regulation of translational termination",3,0,0,"1.00000",1
"151","GO:0006452","translational frameshifting",3,0,0,"1.00000",1
"152","GO:0006457","protein folding",89,0,0.03,"1.00000",1
"153","GO:0006464","cellular protein modification process",1144,0,0.35,"1.00000",1
"154","GO:0006465","signal peptide processing",9,0,0,"1.00000",1
"155","GO:0006468","protein phosphorylation",821,0,0.25,"1.00000",1
"156","GO:0006470","protein dephosphorylation",84,0,0.03,"1.00000",1
"157","GO:0006473","protein acetylation",8,0,0,"1.00000",1
"158","GO:0006475","internal protein amino acid acetylation",8,0,0,"1.00000",1
"159","GO:0006479","protein methylation",25,0,0.01,"1.00000",1
"160","GO:0006486","protein glycosylation",42,0,0.01,"1.00000",1
"161","GO:0006487","protein N-linked glycosylation",9,0,0,"1.00000",1
"162","GO:0006497","protein lipidation",14,0,0,"1.00000",1
"163","GO:0006505","GPI anchor metabolic process",17,0,0.01,"1.00000",1
"164","GO:0006506","GPI anchor biosynthetic process",13,0,0,"1.00000",1
"165","GO:0006508","proteolysis",363,0,0.11,"1.00000",1
"166","GO:0006511","ubiquitin-dependent protein catabolic pr...",54,0,0.02,"1.00000",1
"167","GO:0006518","peptide metabolic process",417,0,0.13,"1.00000",1
"168","GO:0006520","cellular amino acid metabolic process",158,0,0.05,"1.00000",1
"169","GO:0006525","arginine metabolic process",5,0,0,"1.00000",1
"170","GO:0006526","arginine biosynthetic process",3,0,0,"1.00000",1
"171","GO:0006528","asparagine metabolic process",4,0,0,"1.00000",1
"172","GO:0006529","asparagine biosynthetic process",4,0,0,"1.00000",1
"173","GO:0006534","cysteine metabolic process",5,0,0,"1.00000",1
"174","GO:0006535","cysteine biosynthetic process from serin...",5,0,0,"1.00000",1
"175","GO:0006536","glutamate metabolic process",3,0,0,"1.00000",1
"176","GO:0006537","glutamate biosynthetic process",3,0,0,"1.00000",1
"177","GO:0006541","glutamine metabolic process",16,0,0,"1.00000",1
"178","GO:0006542","glutamine biosynthetic process",6,0,0,"1.00000",1
"179","GO:0006544","glycine metabolic process",5,0,0,"1.00000",1
"180","GO:0006545","glycine biosynthetic process",3,0,0,"1.00000",1
"181","GO:0006547","histidine metabolic process",8,0,0,"1.00000",1
"182","GO:0006553","lysine metabolic process",4,0,0,"1.00000",1
"183","GO:0006555","methionine metabolic process",6,0,0,"1.00000",1
"184","GO:0006556","S-adenosylmethionine biosynthetic proces...",4,0,0,"1.00000",1
"185","GO:0006558","L-phenylalanine metabolic process",6,0,0,"1.00000",1
"186","GO:0006560","proline metabolic process",3,0,0,"1.00000",1
"187","GO:0006563","L-serine metabolic process",5,0,0,"1.00000",1
"188","GO:0006568","tryptophan metabolic process",8,0,0,"1.00000",1
"189","GO:0006570","tyrosine metabolic process",3,0,0,"1.00000",1
"190","GO:0006575","cellular modified amino acid metabolic p...",22,0,0.01,"1.00000",1
"191","GO:0006576","cellular biogenic amine metabolic proces...",18,0,0.01,"1.00000",1
"192","GO:0006586","indolalkylamine metabolic process",8,0,0,"1.00000",1
"193","GO:0006595","polyamine metabolic process",8,0,0,"1.00000",1
"194","GO:0006596","polyamine biosynthetic process",8,0,0,"1.00000",1
"195","GO:0006597","spermine biosynthetic process",5,0,0,"1.00000",1
"196","GO:0006605","protein targeting",36,0,0.01,"1.00000",1
"197","GO:0006606","protein import into nucleus",8,0,0,"1.00000",1
"198","GO:0006612","protein targeting to membrane",17,0,0.01,"1.00000",1
"199","GO:0006613","cotranslational protein targeting to mem...",11,0,0,"1.00000",1
"200","GO:0006614","SRP-dependent cotranslational protein ta...",11,0,0,"1.00000",1
"201","GO:0006620","post-translational protein targeting to ...",5,0,0,"1.00000",1
"202","GO:0006621","protein retention in ER lumen",6,0,0,"1.00000",1
"203","GO:0006625","protein targeting to peroxisome",4,0,0,"1.00000",1
"204","GO:0006626","protein targeting to mitochondrion",10,0,0,"1.00000",1
"205","GO:0006629","lipid metabolic process",303,0,0.09,"1.00000",1
"206","GO:0006631","fatty acid metabolic process",63,0,0.02,"1.00000",1
